Date,PPO Agent,Equal-Weight (1/N),Nifty BeES B&H,MVO λ=0.5,MVO λ=1.0,MVO λ=2.0
2022-11-28,1.2622457632934267,1.2552041898079125,1.2703332743716562,1.3128904333561553,1.3495966639458834,1.3101059498176126
2022-11-29,1.2645210288022046,1.2642374012396327,1.2727733315920917,1.3411556127144229,1.3786520906582522,1.3383111821120297
2022-11-30,1.2917448646786136,1.2734766421865058,1.280719198117155,1.3566206225871114,1.3945494764581599,1.3537433925489697
2022-12-01,1.3066401138919526,1.27636182685971,1.285974691289227,1.346137296318678,1.3837730538417146,1.3432823001613554
2022-12-02,1.296543013493147,1.2661540782321161,1.2814074242802336,1.3299318504993456,1.3671145307389008,1.327111224153831
2022-12-05,1.2809346074152108,1.2650102766650708,1.2790925251260754,1.3321167904120874,1.3693605579337373,1.3292915300704182
2022-12-06,1.2830390499460842,1.2606156582265837,1.2772155360024404,1.3327326996477553,1.3699936869661624,1.3299061330362831
2022-12-07,1.283632267902852,1.2574980915587561,1.2692696694773775,1.3416956748232518,1.3792072520044556,1.3388500988137382
2022-12-08,1.292265029862336,1.259268476936578,1.2739620945526489,1.347762389834371,1.3854435822663698,1.3449039470481237
2022-12-09,1.2981082354432458,1.2494366378797954,1.2668296122569416,1.3486201510256577,1.3863253250324157,1.3457598890305438
2022-12-12,1.2989343950651875,1.246549632517181,1.2676429964862979,1.347982330723835,1.3856696723369073,1.345123421469274
2022-12-13,1.2983200732880151,1.2533893978979294,1.2749006368482827,1.349549371561985,1.3872805250278115,1.3466871388012827
2022-12-14,1.2998293813326833,1.2537995810866203,1.2785294570292747,1.3387137607213357,1.3761419685490555,1.3358745089948836
2022-12-15,1.2893929752017528,1.23562061839598,1.2611987403536697,1.323405688055714,1.360405907659228,1.3205989029199698
2022-12-16,1.2746488813274244,1.2272737008767283,1.2523144270006052,1.3193938497272204,1.3562819050106718,1.3165955732206058
2022-12-19,1.270784846826414,1.232751094432277,1.2617618084504703,1.3335242927685695,1.3708074117126532,1.3306960472827916
2022-12-20,1.2843946972130917,1.2315891991027277,1.2588838411995114,1.3257620924491302,1.362828193196135,1.3229503096615813
2022-12-21,1.276918471258261,1.2217718107057414,1.247559375158379,1.3118690946465021,1.3485467703064093,1.3090867772451724
2022-12-22,1.2635373181717717,1.2205032119040378,1.2422413506869843,1.3057993534498655,1.3426564511115318,1.3039256335941554
